p,q1,q2,q3,dipole,nmr
0.43,55.9003914,44.3036791,22.045523,130.325,0.11772
0.431,56.0307088,44.4073417,22.095752,130.63,0.117994
0.432,56.1610262,44.5110043,22.1459812,130.936,0.118268
0.433,56.2913437,44.6146668,22.1962106,131.241,0.118542
0.434,56.4216611,44.7183294,22.2464401,131.547,0.118815
0.435,56.5519785,44.821992,22.2966698,131.852,0.119089
0.436,56.682296,44.9256545,22.3468996,132.158,0.119363
0.437,56.8126134,45.0293171,22.3971296,132.464,0.119637
0.438,56.9429308,45.1329797,22.4473597,132.769,0.119911
0.439,57.0732482,45.2366422,22.49759,133.075,0.120184
0.44,57.2035657,45.3403048,22.5478204,133.38,0.120458
